,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
1891618,KAHRIZ,99246.0,44.95,37.86666667,1336.0,2006-02-01 00:00:00,5.6,-5.0,0.6,0.0
1897607,KAJOR,18477.0,51.7333,36.3833,1600.0,2003-02-10 00:00:00,10.6,1.0,5.8,
1898662,KAKHAK,19026.0,58.65,34.15,1860.0,2000-01-01 00:00:00,13.2,2.4,7.8,
1906625,KALALEH,18206.0,55.4831,37.3667,157.0,2000-01-01 00:00:00,7.4,5.4,6.4,
1911373,KALALEH (AIRPORT),88113.0,55.45944444,37.385,128.8,2006-01-01 00:00:00,11.8,-2.2,5.5,0.0
1917410,KALATEH MAZINAN,18501.0,56.77,36.28,760.0,2000-01-01 00:00:00,13.5,-3.4,5.05,
1923580,KALAT-E-NADER,99289.0,59.7597,36.9797,890.0,2015-12-23 00:00:00,,,5.3,
1925699,KALIBAR,40711.0,47.01666667,38.86666667,1180.0,2000-01-01 00:00:00,17.8,4.4,11.6,0.0
1933928,KAMYARAN,18924.0,46.8667,34.7667,1450.0,2002-01-01 00:00:00,13.5,7.0,10.25,
1935019,KAMYARAN,99425.0,46.93333333,34.8,1404.0,2006-01-01 00:00:00,7.2,-6.9,0.7,0.0
1941052,KANGAVAR,40771.0,47.98333333,34.5,1468.0,2000-01-01 00:00:00,16.2,-5.6,3.2,0.0
1949281,KARAFS,18811.0,49.3,35.37,1975.0,2000-01-01 00:00:00,14.0,-1.0,6.5,
1956795,KARAJ,40752.0,50.95388889,35.80694444,1292.9,2000-01-01 00:00:00,16.8,1.0,10.2,0.0
1965024,KARAJ (AGRICULTURAL),99373.0,50.9378,35.7803,1261.1,2004-01-01 00:00:00,6.2,-5.8,1.6,0.0
1968558,KARKANDEH,18339.0,54.03,36.77,10.0,2004-01-01 00:00:00,10.2,-0.6,4.8,
1975227,KARKHANE-GHAND,19278.0,51.7833,32.6667,1610.0,2000-01-01 00:00:00,16.2,2.0,9.1,
1977778,KAROON,19389.0,48.72,32.08,59.0,2000-01-01 00:00:00,23.0,4.5,13.75,
1983923,KARVANDAR,19908.0,61.03,27.95,1540.0,2000-01-01 00:00:00,20.8,3.0,11.9,
1991816,KASHAN,40785.0,51.48083333,33.96694444,955.0,2000-01-01 00:00:00,16.5,2.2,8.6,0.0
2000045,KASHMAR,40763.0,58.47333333,35.27111111,1109.7,2000-01-01 00:00:00,17.6,4.6,10.4,0.0
